,AmbienteOut,AmbienteIn,Techo,Piso,Norte,Sur,Este,Oeste,Puerta,Ventana,Qin
1207,29.615938566552902,29.14203471598634,29.182069116164612,26.490839592497874,29.738058053070876,30.23717083685407,29.699986978850752,30.09580184412393,30.178264337417296,28.535773135023742,-5.805684651354897
1208,29.3106811311555,29.139533862209547,29.16417408255682,26.5016133952713,29.760642955379843,30.221565201137945,29.680330219436918,30.09640476395493,30.17484957720813,28.39359424085789,-6.063957754645268
1209,28.912934178449568,29.135492671395795,29.146711724996877,26.512256886062975,29.782144818992776,30.202897384171827,29.65882451156799,30.094261829434537,30.165464487500245,28.251736806742354,-6.3257456339626446
1210,28.688131155533885,29.13000609384199,29.129310321296256,26.522759717752727,29.80269535717549,30.18119572341124,29.63547979616713,30.089116601914405,30.150252001651133,28.109741569267783,-6.591073019122471
1211,28.53978498293514,29.123203293348432,29.111344056475353,26.53311262897544,29.82221527687401,30.156498566858254,29.610312866901154,30.080764520319065,30.129352622557395,27.967458816974936,-6.860391669744067
1212,28.450739639200393,29.11495840370452,29.092396765759027,26.543305815393918,29.84070105660006,30.12884628850917,29.583339957509004,30.06903993246682,30.102902223729,27.824815776431542,-7.134551226093137
1213,28.389011701608972,29.105180311642005,29.072208065808038,26.55332869987298,29.858280908311833,30.098279581782318,29.554575535453218,30.053809958579976,30.071031848231527,27.68176634659142,-7.415380841475483
1214,28.261008776206715,29.09380865661333,29.05061786226186,26.56317021748094,29.874968790815025,30.06484000257596,29.524033281643405,30.034971098611752,30.033868225098605,27.538280533503947,-7.7035884304687565
1215,28.101213066796692,29.080784416539895,29.02751890132778,26.572818904948093,29.890632983147235,30.02856974194629,29.491726243450312,30.012445509798322,29.99153400233877,27.39433591345322,-7.997719999481274
1216,28.031398342272063,29.066125766705866,29.00286159743179,26.582263381840715,29.905248810146134,29.989513100782503,29.457668639829365,29.98617937897458,29.94414852342788,27.24992439336863,-8.296952117718835
1217,28.006508044856165,29.04989292172151,28.976648728583697,26.591492756844158,29.918934225479678,29.947717633125034,29.421877290937207,29.956141313589935,29.891828483451274,27.105051954458524,-8.602721507841244
1218,27.876771331058034,29.032055719516663,28.948874545261624,26.600496168730565,29.931833289048107,29.90323169542398,29.384369414646038,29.92231745059361,29.834687363309406,26.9597182059253,-8.917175528854319
1219,27.6925831301804,29.012536842774466,28.91950112389748,26.609262335067243,29.944080524117965,29.856102195125782,29.345160587889648,29.884707042542384,29.772834886034246,26.81391074495862,-9.239447724906482
1220,27.53263920039004,28.991560140106987,28.889570269449738,26.617780794445604,29.955660867346285,29.80640598305875,29.30426970579087,29.84338207107772,29.707462723507078,26.667558368643906,-9.56558669080703
1221,27.38578644563628,28.969517909531127,28.86046739651858,26.62604389647826,29.966393723035548,29.75428272480285,29.261726787613693,29.79854698062094,29.639899216170512,26.520684126957775,-9.892898625551382
1222,27.254558264261334,28.946507266793137,28.83197498430994,26.63404610465214,29.976192746376604,29.69989657279862,29.217569640337302,29.750459381565744,29.57019163711891,26.373437712325096,-10.221712317908336
1223,27.132098000975123,28.922407971334508,28.803330967122626,26.641781524182765,29.98514217378039,29.64339354382842,29.171833391020158,29.699349821563217,29.49838542222818,26.22586309557651,-10.55364929924611
1224,26.963723549488066,28.897137091383883,28.774033592105148,26.649243487092786,29.99325386740361,29.58490160216607,29.124548834225692,29.645422770571912,29.424523638785328,26.07795874935686,-10.889200364833176
1225,26.768583617747435,28.870655891647612,28.74380622397102,26.656424920469387,30.00040336964911,29.52453384627196,29.075744071727076,29.588860615769498,29.348647552706662,25.9297142495461,-11.226937539274227
1226,26.61158508044855,28.84298712848682,28.712521138621327,26.66331883959763,30.006438402598928,29.462391980574573,29.02544660576067,29.529827857741566,29.270797360068414,25.781126917542228,-11.565009591072354
1227,26.477675280351054,28.81416937259147,28.68013573833241,26.66991858264482,30.011242743607703,29.398568476925714,28.973684272319808,29.468473921356303,29.191012543924472,25.63220169878361,-11.90250987487142
1228,26.299438322769376,28.784179869909618,28.646624260976434,26.67621748388091,30.014747486729,29.333146240327363,28.920483812932975,29.404933403799227,29.109331440153188,25.482938272195053,-12.23932881788541
1229,26.09334666016575,28.75296101065834,28.61194867789634,26.682208553667095,30.016928867053544,29.266198261470105,28.86586955303795,29.339326249349348,29.025790821363955,25.333327461539813,-12.575111876999191
1230,25.850795709410058,28.720525580764967,28.57609101106685,26.68788483708192,30.017789410616423,29.197790043044428,28.809864961025475,29.271760644155325,28.940426436528497,25.183365891469787,-12.909806497075747
1231,25.584469527059962,28.686881524319954,28.53904747046518,26.693239517713884,30.017392417885127,29.127980794000422,28.75249307061665,29.202334630819745,28.85327318269667,25.03305386291309,-13.239805675765918
1232,25.46987372013652,28.652463997703073,28.501383337893195,26.698267464788195,30.015864095672704,29.05686997014297,28.693815202616133,29.131189376616895,28.76524351902459,24.900331806064475,-13.559060392944149
1233,25.45792637737689,28.618022818049596,28.464188127686658,26.702968869128387,30.013269400620242,28.984663690085505,28.633987528996528,29.058584156313206,28.677671065822565,24.80098589887983,-13.869474503227112
1234,25.36055728912725,28.583426668328787,28.427602884624445,26.707346549075613,30.009630648921586,28.911608654518034,28.57320429754661,28.984821806610388,28.59054322499185,24.71412478419032,-14.174481163518191
1235,25.20325060945882,28.548343931033113,28.391163598226186,26.711400646672946,30.004976013605507,28.837908218701713,28.51162467561373,28.91015505078635,28.50384403219894,24.631867172009507,-14.475007436521656
1236,24.997534373476363,28.512707205716676,28.354525663985275,26.715130023509325,29.999453911656076,28.76373240909882,28.449381764290695,28.834797271437687,28.417556166235407,24.551237516880185,-14.772502869224763
1237,24.756596294490482,28.47651547152981,28.317506437195537,26.718533297651057,29.9933412256466,28.689225700973214,28.386589485824533,28.7589309621392,28.331662413401297,24.471117223418318,-15.069027771938469
1238,24.52303607996102,28.439833207920984,28.280043551734018,26.721609437926322,29.986689158435297,28.61451242482413,28.323347199899345,28.682713734685567,28.246146491244893,24.39109592790597,-15.3637501795103
1239,24.295040955631407,28.40279738735176,28.242170315960614,26.724358356340364,29.979223100744168,28.539701736657666,28.259743972916528,28.6062838247926,28.160993855845348,24.311041727502644,-15.653455282207767
1240,24.181310580204777,28.365464824227903,28.203939705604476,26.726780575045225,29.970714020896366,28.46488835104577,28.195858689511454,28.52976130222685,28.076191200838608,24.230917990746804,-15.935402690450793
